Participant,Event Duration [ms],Saccade Start Position X [px],Saccade Start Position Y [px],Saccade End Position X [px],Saccade End Position Y [px],Saccade Amplitude [°],Saccade Acceleration Average [°/s²],Saccade Acceleration Peak [°/s²],Saccade Deceleration Peak [°/s²],Saccade Velocity Average [°/s],Saccade Velocity Peak [°/s],Saccade Peak Velocity at [%],Label
calvin (1),1012.4,21.6,2742.4,-909.7,3477.2,1.3,539510.8,6523604.4,74.2,7963.8,64407.7,60.7,B
calvin (1),265.8,-416.2,3087.1,-25.9,2745.1,1.3,26294.8,154569,81,368.4,2144.3,43.8,B
calvin (1),149,264.7,2663,-136.2,2895.1,1.2,105292,447659.7,11700.2,1014.3,5111.5,11.2,B
calvin (1),83.3,112.4,2729.3,-343.2,3061.5,0.8,41650.3,70654.9,15043.2,479.2,1321.3,20.4,B
calvin (1),912.7,-282.3,2999.4,-1521.6,4023.4,1,244529.7,2164518.5,0.2,3197.3,29885.4,76.3,B
calvin (1),1344,225.6,225,306.8,1152.7,32.3,11458930.4,536609530.4,0.6,151261.3,5904186.6,30.9,B
calvin (1),580.9,361.4,1151.6,68.8,2923.6,14.9,406038.6,5393286.2,12.9,5304.2,46329.2,82.8,B
calvin (1),531.1,29.7,3059.7,277.4,125.8,8.8,1878408.8,24161511.1,258.9,20123,240628.4,40.6,B
calvin (1),614,213.8,65.8,858.9,3108.9,6.4,67608.7,443343.4,18.8,928.7,7524.5,5.4,B
calvin (1),182.6,662.5,2920.5,410.3,615.7,12.6,47496.2,218229.1,1223.5,631.9,3569.9,18.1,B
calvin (1),83.2,439.1,458,437.1,619.7,1,13376.5,32207.5,7.4,166.4,551.3,39.8,B
calvin (1),66.2,181.1,19.6,-243.1,-689.8,2.8,53865.7,107174.8,812.6,666.1,1819.7,50.3,B
calvin (1),66.4,-176.2,-558,238.7,98.3,2.5,42292.9,83092.4,41.9,550.7,1479.7,25.6,B
calvin (1),66.5,243.8,95.1,-64.3,-389.4,1.9,32136.9,57607,3955.6,424.3,1061.2,26,B
calvin (1),66.4,-14.1,-298.2,242.5,95,1.8,22051.3,44929,1126.4,350.6,715.1,50.1,B
calvin (1),66.4,261.4,122.8,306.6,179.2,0.9,8213.8,18744.4,95.3,105.5,228.6,50.6,B
calvin (1),83,388.9,370.7,94.3,-14.3,4.2,22718.9,53993.8,9,305.3,891.1,40,B
calvin (1),49.6,196.2,80.7,381.2,321.3,3.6,27289.3,42691.8,2063.6,294.8,734.2,33.1,B
calvin (1),49.5,349.5,289.9,342.9,324.7,2.6,5297.9,11247.5,84.5,96,127.2,67.1,B
calvin (1),232,380.4,461.7,64.2,-127.4,5.5,23743,72662.7,0,380,1342,71.4,B
calvin (1),332,169.9,19.3,-492.3,-1190.9,2.6,56017.4,448488.8,10.9,793.4,7017.8,34.9,B
calvin (1),232,-314.2,-832.6,239.1,91.7,2.9,24633.3,110048.6,30.8,274.1,1781.3,14.2,B
calvin (1),83,245.9,98.4,-38,-329.8,2.1,34517.2,82612,2.9,356.1,1338.4,19.7,B
calvin (1),99.7,88.2,-128.5,275.4,130.6,2.2,9023.5,12938.2,5235.8,214.1,404.9,16.6,B
calvin (1),83.1,293.6,150.6,-6.3,-289,2.6,22590.4,60296.6,3.6,300.6,991.4,39.7,B
calvin (1),248.8,-109.3,-476.9,368.4,233.5,4.7,126616.2,512269.6,242.7,2322.8,8964.6,13.3,B
calvin (1),50.2,367.8,227.8,282.6,103.1,1.7,13553,18886.2,5948.7,167.1,360.9,34,B
calvin (1),66.2,293.7,118,401.6,245.5,3.1,9931.6,18640.5,146.9,137.6,306.6,24.5,B
calvin (1),32.7,410.8,260,415,289.4,1.1,2734.9,5468.5,1.2,44.4,84.4,49.5,B
calvin (1),66.6,442.6,432.3,259.7,112.9,6.4,20500.9,35838.3,324.6,266.3,695.8,50.1,B
calvin (1),49.7,324.2,192.4,402.1,296.2,1.8,6320.3,12546.2,678.9,126,226.8,33.7,B
calvin (1),32.9,376.8,235.3,364.8,232.1,0.6,2631.5,2818.9,2444,49.2,63.6,0,B
calvin (1),49.9,338.2,218.1,364.3,250.8,0.5,9033.3,15247.9,9.3,88.3,189,33,B
calvin (1),32.8,371.9,274.9,405.6,327.7,1,5110,10219.3,0.7,87.2,172.7,51,B
calvin (1),232,376.7,248.7,-189,-633.3,4.8,42283.4,271938,16.4,741.8,3637.3,21.5,B
calvin (1),66.6,6.1,-266.4,419.1,332.6,4.9,41486.7,72584.4,4673.6,558.1,1498.1,25.7,B
calvin (1),82.9,438.4,379.9,397.5,1059,3.3,54040.5,134370.8,6505,663.2,1579.3,40.1,B
calvin (1),99.6,446,761.6,353.1,220.4,4.4,16685,28704.8,150.4,268.1,700.8,49.8,B
calvin (1),83.2,250,82.5,276,110.4,0.5,4047,11463,14.9,74.9,129.6,80,B
calvin (1),66.4,271.1,99.8,-8,-294.3,2.6,26069.6,49571.9,12.8,337.3,896.3,50.1,B
calvin (1),315.3,69.6,-164.2,189,4.6,1,5736523.6,47025438.6,1554.4,81379,597281.5,79,B
calvin (1),49.5,173.1,-23.2,237.8,57,0.9,3478.5,6528.6,1.2,97.6,176.3,66.6,B
calvin (1),33.5,184.2,-11.4,153.1,-50.2,0.8,4977.9,9551.8,404,138.1,141.5,0,B
calvin (1),49.7,100.6,-124.3,214.1,24.9,1.2,20181.1,30543.1,1.5,172.4,505,33.8,B
calvin (1),50.3,246.8,72.7,142.8,-58.8,1.2,8816,18137.1,527.1,156.2,296.7,33,B
calvin (1),49.6,140,-62.8,242.4,70.4,1.3,18497.4,28147.4,739.2,164.5,464.9,32.4,B
calvin (1),33.5,624.2,398.8,611.8,364.9,1,1865.1,3561.9,168.4,100.6,102,0,B
calvin (1),464.7,2666,846,3131.3,372.8,1.1,28107.5,100768.1,143,399.5,1694.7,0,B
calvin (1),364.6,2510.2,932.2,2296.9,1114.6,0.5,16790.5,83515.2,6,246.7,774.7,13.6,B
calvin (1),149.1,196.6,106.8,33.2,-131.7,1.3,10906.4,25718.7,4.9,151.8,531.1,66.7,B
calvin (1),49.9,111.3,-18.8,211.9,104.8,1.1,20247.5,25630.7,11709.3,161.6,434.9,33.5,B
calvin (1),50.1,32.8,-141.4,157.8,37.4,0.9,22692.7,32843.6,4249.3,214.6,572.5,33.8,B
calvin (1),66.2,177,63.3,280.7,188.2,1.5,15098.6,22450.2,4064.1,190.8,457.3,24.7,B
calvin (1),66.1,261.9,163.4,-65,-311.4,2.7,32486.7,58060.5,1313.9,413.9,1120.4,49.7,B
calvin (1),232.6,61.3,-110.1,-213.1,-551.8,1.6,36785.5,185951,74.8,358.6,2831.4,14.4,B
calvin (1),282,-219.7,-562.9,-55.7,-267.1,0.7,50340.8,211876,513.5,639,2563.7,11.8,B
calvin (1),182.8,21.6,-143.2,-276.6,-658.6,1.1,20676.9,84447.6,12.5,230.9,1487.7,54.5,B
calvin (1),66.6,-223.4,-561,227.8,143.3,2.5,39956.8,80510.6,9216.1,632.1,1323.1,49.8,B
calvin (1),66.1,225.6,143.3,299.2,234,0.9,9901.4,20446.4,6,92,325.4,50.1,B
calvin (1),66.6,286.8,217.4,69.4,-67,2.1,19626.9,38253.6,1588.8,254.6,664.1,25.1,B
calvin (1),49.6,135,30.5,201.2,116.4,0.6,12819.8,20160.7,8657,165,318.4,33.4,B
calvin (1),66.6,196.8,113.1,-19.3,-202.4,1.5,29206.6,55620,2612.4,280.6,950.5,50.3,B
calvin (1),365.1,92.2,-25.5,180.8,122.8,1.6,231883.2,1900627.2,3765.7,2642.2,21928.8,13.7,B
calvin (1),132.8,247.5,278.5,-10.7,-53.2,2.3,25218.4,72352.8,18.1,240.7,1150.4,25,B
calvin (1),515.1,-63.5,-142.7,-156.3,-365.2,2.9,55116.4,340875.1,27.2,772.1,6118.4,25.9,B
