Participant,Event Duration [ms],Saccade Start Position X [px],Saccade Start Position Y [px],Saccade End Position X [px],Saccade End Position Y [px],Saccade Amplitude [°],Saccade Acceleration Average [°/s²],Saccade Acceleration Peak [°/s²],Saccade Deceleration Peak [°/s²],Saccade Velocity Average [°/s],Saccade Velocity Peak [°/s],Saccade Peak Velocity at [%],Label
calvin,116.6,729.8,831.7,594.3,844,6.2,3385.2,10507.6,0,56.9,187.9,71.2,Y
calvin,33.7,534.8,827.6,578.6,835.4,0.7,4952.1,8928.5,975.6,73.8,124.5,48.9,Y
calvin,66.4,386.8,951.7,527,1016.4,7.4,9851.3,17976.8,1324.4,134.2,293.5,25.2,Y
calvin,49.9,629.3,782,706.2,782.9,3.7,6218,10135.2,666.6,73.6,173.1,33,Y
calvin,99.2,685.8,786.1,865.3,822,9.1,7833.3,17867.5,311.5,114.4,299.1,49.8,Y
calvin,49.8,605.2,657.9,589.2,674.2,1.1,948.2,2433.8,11.2,24.7,51.7,66.7,Y
calvin,49.6,598.7,696.8,570.7,693.1,1.2,1249.6,2677.7,495.6,29.2,43.1,66.9,Y
calvin,49.9,574.8,691.9,468.5,675.8,4.7,3503.6,9114.5,536.6,100.6,156,33.5,Y
calvin,49.8,475.2,667.9,443.8,667.5,1.3,1694.5,4249.4,359,29.9,78.9,66.7,Y
calvin,66.4,465.5,662.4,604.6,677.6,5.5,6399.9,11057.5,1.9,97.3,240.4,49.9,Y
calvin,33.3,587.8,667.7,598.3,677.7,0.6,1589.1,2735.3,442.9,22.9,40.7,49.2,Y
calvin,99.7,622.6,682.3,1020.6,699.3,18.9,7761.3,16558.2,184,200.8,380.2,33.3,Y
calvin,49.6,790.3,693.7,811.5,694.6,1.1,478.7,819.7,137.8,18.2,29.6,66.8,Y
calvin,66.5,805.3,698.8,751.3,811.9,5,8362,16137,323.1,89.7,285,49.9,Y
calvin,66.3,753.9,805.3,788.1,704.5,4.5,5113.4,9600.2,464.2,77.3,194.4,50.1,Y
calvin,49.9,798.8,692.1,810.9,693.2,0.5,804.3,1252,455.7,13.4,27.2,66.7,Y
calvin,32.9,828.1,700.3,844.5,700.4,0.8,1582.6,2783,382.3,25,45,51.1,Y
calvin,49.6,822,691.9,808.6,696.5,0.7,947.3,2382.6,96.6,15.5,39.4,65.9,Y
calvin,33,808.5,690.5,823.8,690.3,0.7,1579.6,2639.6,519.7,22.4,43.6,49.3,Y
calvin,32.9,848,696.1,861.6,693.7,0.7,1581.3,2669.2,493.5,21.8,39.1,49.7,Y
calvin,49.9,877.9,696.8,858.1,700.2,0.9,812.2,1091,467.9,21.2,35.4,67.2,Y
calvin,32.9,858.1,705.2,881.3,703.3,1.1,2206.5,3619.8,793.3,37.8,66.8,48.9,Y
calvin,33.3,877.3,686.7,890.7,687.9,0.7,1452.7,2292.8,612.6,21.3,36.8,50.5,Y
calvin,33.4,884.1,683.6,895,685.7,0.6,1258.9,2141.4,376.4,18,30.8,49.9,Y
calvin,33.2,918.1,685.2,930.8,682.3,0.6,1227.6,2295,160.2,19.2,36.6,49.5,Y
calvin,49.8,921.1,689.8,937.4,694.1,0.9,1017.6,1827.8,606.9,16.4,38.6,66.6,Y
calvin,66.2,888.3,696,849.1,700,1.7,1068.7,2874.2,62.8,28.6,43.9,24.7,Y
calvin,82.8,965.4,646.7,829.4,666,6.2,6783,13225.3,751.9,82.9,244.6,59.5,Y
calvin,49.5,892.6,650.6,805,656.6,4.1,4650.9,9305.3,402.5,84.4,158.4,32.9,Y
calvin,66.4,806.7,653.5,896,659.5,4.4,4822.9,8862.9,882.2,64.3,174.9,49.7,Y
calvin,33.3,892.2,658.5,907.3,657.6,0.7,1431.8,2637.2,226.5,21.7,42.6,49,Y
calvin,66.3,906.6,659.2,759.5,667.6,6.7,6624.4,11986.9,382.7,103,261.4,49.7,Y
calvin,33.2,529.6,698,540.3,694.6,0.6,1080.3,1174.2,986.3,23.5,30.9,50.2,Y
calvin,66.4,531.5,694.6,634.8,704.5,4.7,5635.9,10292.1,241.5,72.3,197.9,49.9,Y
calvin,66.5,624.7,700.1,703.6,714.1,3.6,4841.7,8911.4,502.9,57,169.5,50.2,Y
calvin,66.6,691.8,706.9,498.9,703,8.6,6409.8,11523.9,120.6,133.7,288.5,49.9,Y
calvin,66.1,509.6,696.6,472.5,687.1,1.5,1318.4,2026.5,425.8,21.4,46.5,50.1,Y
calvin,33.3,480.9,680.7,501.4,682.4,0.8,1738.7,3475.6,1.7,28.9,57.3,49.6,Y
calvin,49.9,502.1,677.8,473.3,680.5,1.3,1176.6,1765.8,349.8,27.8,51.5,66.7,Y
calvin,49.6,476.4,676.4,549,685.1,3.3,4717.9,8733.1,729.4,69.8,141.6,33,Y
calvin,49.7,542,689.8,584.1,691.4,1.9,1886.2,3990.3,386.7,41.1,66.4,33.9,Y
calvin,66.3,844.1,698.3,708.7,718.8,6.2,6740.4,13532.3,570.1,104.2,211.3,49.6,Y
calvin,49.8,552.6,716.4,498,736.3,2.5,3311.7,6033.9,872.8,55.8,105.7,33.2,Y
calvin,66.4,518.1,737.7,472.5,724.7,1.9,3107.5,6874.1,480.1,37.3,106.7,49.8,Y
calvin,49.6,482.4,722.8,455.7,724.6,1.2,2299.6,3671.3,320.7,25.6,60.3,34,Y
calvin,49.5,459.8,720.2,546.9,729.8,3.9,4107.3,9044.3,288,83.2,146.8,33.3,Y
calvin,66.5,544.1,725.9,613.6,736.7,3.2,4109.7,7493.2,123.5,49,144.9,50,Y
calvin,49.9,608.6,733.1,699.4,745.4,4.1,3190.3,6260.6,373.5,86.6,149.2,67.1,Y
calvin,49.6,687.5,743.9,777.4,761.2,4.3,3395.8,8495.3,419.6,87.3,132.1,32.9,Y
calvin,66.1,851.6,717.9,816.9,708.8,1.5,1021.9,2073.3,452,27.7,49.3,74.9,Y
calvin,66.4,799.1,719.4,903.8,686.9,5.1,5373.4,10257,467.2,80.6,167.5,50,Y
calvin,66.5,901.6,684.6,794.5,723.6,5.1,7264.8,14463.2,121.1,79.7,240.3,50.4,Y
calvin,49.7,797,716.3,811.8,733.1,1,1374.5,3210.1,211.2,22.8,57.6,66.6,Y
calvin,49.8,805.6,735.1,791.8,735.6,0.6,818.4,1277.3,235.7,14.8,21.2,66.3,Y
calvin,66.4,785.9,734.4,892.2,689.4,4.6,5757.1,10511.2,482.5,81.7,198.9,50.3,Y
calvin,66.7,891.6,684.6,791.2,723.3,4.7,6404.8,12642.8,305.3,75.3,212.1,50.2,Y
calvin,49.6,793.3,719.9,808.8,733,1,1663.6,2775.7,367.3,20.5,43.3,33.6,Y
calvin,66.1,806.3,733.8,904,689.4,5.1,3938.6,9927.1,364.2,76.2,176.7,49.4,Y
calvin,66.4,898.8,684.4,798.3,732.3,4.8,6948.8,12571.1,682.3,77.9,242.5,50.5,Y
calvin,33.3,801.4,736.2,817.9,734.8,0.9,1480.2,2751.9,208.6,23.2,45.4,50.5,Y
calvin,50.1,814.7,737.4,841.4,721,1.4,2166.3,3801.4,530.4,31.5,59.5,33.7,Y
calvin,33.2,830,722.7,814.8,740.6,1,2071.9,3740.9,402.9,33.9,65,50,Y
calvin,50,814.3,738.8,867.9,693.8,2.5,2519.9,5491.6,595.3,66.6,106.9,66.5,Y
calvin,49.7,800.2,728.9,815.9,736.4,0.8,1056.6,1490.9,632.2,18,36,66.6,Y
calvin,49.9,811.3,736.2,842.2,724.1,1.7,2530.9,4066.1,588,32.4,70.2,33.3,Y
calvin,33.2,848.3,717.1,857.2,710.8,0.5,882.8,1762,3.6,30.2,30.2,50.4,Y
calvin,33.3,864.4,703.6,875,699.2,0.6,1203.4,2032.9,373.8,17.1,31.6,50.3,Y
calvin,49.8,839.3,718.9,829.1,735.4,0.8,1008.2,1468.4,551.7,18.6,39.2,66.3,Y
calvin,49.9,828.5,738.1,813.1,752.7,0.8,1459.9,2510.8,437.9,20.4,40.6,33.4,Y
calvin,33.3,801.7,746.4,820.1,752.9,1,1729.2,2964.3,494.2,30.6,54.1,50,Y
calvin,49.6,717,748.3,754.3,733.1,1.9,1880.2,3431.7,446.5,38.1,84.4,66.6,Y
calvin,33.6,757.3,704,730.1,725.9,1.3,2220.1,4402,38.2,57.4,94.7,50.7,Y
calvin,50.2,763.2,712.9,777.8,705.8,0.8,1022.6,1150.3,905.3,19.4,25.6,66,Y
calvin,49.4,793.8,706,771,710.3,1.1,1143.8,2126.2,297.5,23.1,49.6,67.1,Y
calvin,33.4,770.7,709.1,791.9,710.5,1.1,1825.9,3453.8,198,31.4,58.5,50.3,Y
calvin,49.8,792.2,712.5,801.6,692,1,1047,1676.5,126.5,22.6,45.3,66.6,Y
calvin,49.9,803,692.4,830.2,676.3,1.6,1586.5,3402.3,464,30.2,72.1,66.7,Y
calvin,49.8,831.1,671.9,779.4,704.2,2.6,2439.5,4261.8,327,57.9,120,66.7,Y
calvin,66,509.8,744.7,606.8,748.7,4.5,4587,8126.8,1110.6,73.3,173.2,50.3,Y
calvin,49.8,631.3,735.7,686.2,741.9,2.5,4039.7,6782.3,820.1,52.5,113.5,33.3,Y
calvin,49.6,697.5,724.3,746.4,734,2.3,1842,3313.3,319.7,48.7,83.5,66.4,Y
calvin,182.4,743.1,725.2,684.4,725.8,2.8,2608.6,9038.1,61.8,30.5,152.1,45.3,Y
calvin,49.4,672.1,719.8,710.2,726,1.8,3543.4,5448.3,490.6,36.2,91.6,33.8,Y
calvin,50.1,704.5,723.9,753.5,732.8,2.4,1821.8,4447.2,500.2,46.9,72.1,32.8,Y
calvin,82.6,746.9,730.8,777.8,735.7,1.5,333.4,646.4,41.3,15.5,25,80,Y
calvin,99.4,777.1,736.3,411.5,724.4,16.2,8403.3,17450.7,532.1,171.9,419.4,50.1,Y
calvin,49.7,407.4,717.8,386.1,715.8,0.9,927.3,1719.5,12.9,25.3,44,66.4,Y
calvin,50.1,387.4,710.6,418.6,729.8,1.5,3750.2,5614.2,542.1,37,90.3,33.9,Y
calvin,49.7,425.7,726.5,479.4,731.8,2.4,2669.8,5886,488.8,52.4,123.5,66.9,Y
calvin,50.1,478.2,728.1,509.1,709.6,1.7,1587.5,3088.7,505.1,34.8,54.8,33.6,Y
calvin,149.4,510.7,709.3,610.3,743.5,4.8,2400.5,7795.3,265.7,36.7,147.2,88.6,Y
calvin,49.7,603.5,741.8,636.1,745.8,1.5,2934.8,4738.9,442.3,31.5,76.8,32.3,Y
calvin,33.2,652.1,729.1,624.3,730.9,1.2,2454.2,4246.5,662,43.4,77,50.2,Y
calvin,132.6,625.8,733.3,1201.4,727.7,27.3,6952.8,17126,146.8,218.7,395.5,37.3,Y
calvin,50.1,937.4,674,901.7,670.3,1.6,1364.6,2026.5,173.9,34.2,66.4,66.6,Y
calvin,50,896.7,666.3,936.6,670.7,1.9,3957.5,5688.8,642.6,38.7,100.9,34.3,Y
calvin,49.8,933.2,668.7,825.4,681.4,5,5087.4,10744,425.6,102,183.7,33.4,Y
calvin,33.6,827.9,677.7,844.3,697.4,1.3,2261,3913.9,608.1,37,69.2,51,Y
calvin,49.4,846.2,695.9,904.7,669.5,3.1,3291.7,6473.4,486.5,61.2,113,33.7,Y
calvin,66.4,899,664.9,812.1,667.6,3.9,4990.7,9298.4,382.5,62.7,174.6,49.5,Y
calvin,33.3,798.6,655.3,838.9,657.8,1.9,3415.5,6460.8,370.3,58.8,112.3,49.9,Y
calvin,49.5,837.3,653,800.9,651.2,1.7,1377.8,2870.4,266,34.5,55.9,66.4,Y
calvin,49.9,797.3,646.3,752.5,647.5,2.1,1334.7,3646.1,58.8,42.2,62.8,66.4,Y
calvin,49.7,748.5,646.4,816.5,656.1,3.2,4324.5,8220.9,624.1,65,131.2,32.6,Y
calvin,50.1,809.9,650.8,812.5,680.8,1,1264.4,1952,115.7,29,57.3,66.7,Y
calvin,33.2,838.5,684.9,827.9,681,0.1,1157,2015.1,299,18.6,31.3,50.3,Y
calvin,49.9,853.5,675.7,880.4,648,1.8,1154.6,2033.5,104.9,38.2,64,67.4,Y
